x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
5.25388843e-01	6.36834104e-02
5.26365343e-01	6.61362962e-02
5.27341844e-01	6.85895800e-02
5.28318344e-01	7.10432767e-02
5.29294844e-01	7.34974012e-02
5.30271345e-01	7.59519684e-02
5.31247845e-01	7.84069933e-02
5.32224345e-01	8.08624909e-02
5.33200846e-01	8.33184762e-02
5.34177346e-01	8.57749641e-02
5.35153846e-01	8.82319697e-02
5.36130347e-01	9.06895081e-02
5.37106847e-01	9.31475943e-02
5.38083347e-01	9.56062435e-02
5.39059848e-01	9.80654707e-02
5.40036348e-01	1.00525291e-01
5.41012848e-01	1.02985720e-01
5.41989349e-01	1.05446773e-01
5.42965849e-01	1.07908464e-01
5.43942349e-01	1.10370809e-01
5.44918850e-01	1.12833824e-01
5.45895350e-01	1.15297524e-01
5.46871850e-01	1.17761923e-01
5.47848350e-01	1.20227038e-01
5.48824851e-01	1.22692884e-01
5.49801351e-01	1.25159476e-01
5.50777851e-01	1.27626829e-01
5.51754352e-01	1.30094960e-01
5.52730852e-01	1.32563884e-01
5.53707352e-01	1.35033616e-01
5.54683853e-01	1.37504172e-01
5.55660353e-01	1.39975567e-01
5.56636853e-01	1.42447818e-01
5.57613354e-01	1.44920940e-01
5.58589854e-01	1.47394948e-01
5.59566354e-01	1.49869859e-01
5.60542855e-01	1.52345688e-01
5.61519355e-01	1.54822452e-01
5.62495855e-01	1.57300165e-01
5.63472356e-01	1.59778845e-01
5.64448856e-01	1.62258506e-01
5.65425356e-01	1.64739166e-01
5.66401857e-01	1.67220840e-01
5.67378357e-01	1.69703544e-01
5.68354857e-01	1.72187295e-01
5.69331358e-01	1.74672108e-01
5.70307858e-01	1.77158000e-01
5.71284358e-01	1.79644988e-01
5.72260859e-01	1.82133087e-01
5.73237359e-01	1.84622314e-01
5.74213859e-01	1.87112686e-01
5.75190360e-01	1.89604218e-01
5.76166860e-01	1.92096928e-01
5.77143360e-01	1.94590833e-01
5.78119860e-01	1.97085948e-01
5.79096361e-01	1.99582291e-01
5.80072861e-01	2.02079878e-01
5.81049361e-01	2.04578727e-01
5.82025862e-01	2.07078853e-01
